=== Experiment V2_coco: M7 COCO warm-start from VOC + AMP + bigger batch ===
Log: /workspace/SNN/logs/cifar100_detect_V2_coco.log
dataset=coco  batch=20  img=416  epochs=15  warmup=2  amp=True
loading annotations into memory...
Done (t=13.35s)
creating index...
index created!
loading annotations into memory...
Done (t=0.59s)
creating index...
index created!
Train batches: 5914  Val batches: 250
num_classes=81 (incl. background)
[SEWBackboneForDetection] loaded 899 keys, skipped 7, own-keys missing 1
  missing: ['conv_stem.weight']
Warm-started from cifar100_detect_V1_best.pth: loaded 934 keys, skipped 2 (shape/class mismatches)
Total params: 20,322,535  Trainable: 20,170,975
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
No resume checkpoint — fresh start for this experiment.
  iter 2800/5914  loss=1.0495  (cls 0.5683 bbox 0.4813)  1.39 it/s  gpu_mem=22263 MB
  iter 2900/5914  loss=1.2256  (cls 0.6475 bbox 0.5781)  1.39 it/s  gpu_mem=22263 MB
  iter 3000/5914  loss=1.1201  (cls 0.5859 bbox 0.5342)  1.39 it/s  gpu_mem=22263 MB
  iter 3100/5914  loss=1.3216  (cls 0.6631 bbox 0.6585)  1.39 it/s  gpu_mem=22263 MB
  iter 3200/5914  loss=1.0978  (cls 0.5855 bbox 0.5122)  1.39 it/s  gpu_mem=22263 MB
  iter 3300/5914  loss=1.2471  (cls 0.6784 bbox 0.5687)  1.39 it/s  gpu_mem=22263 MB
  iter 3400/5914  loss=1.3486  (cls 0.5294 bbox 0.8191)  1.39 it/s  gpu_mem=22263 MB
  iter 3500/5914  loss=1.5135  (cls 0.6636 bbox 0.8499)  1.39 it/s  gpu_mem=22263 MB
  iter 3600/5914  loss=1.5316  (cls 0.7057 bbox 0.8259)  1.39 it/s  gpu_mem=22263 MB
  iter 3700/5914  loss=1.0435  (cls 0.5236 bbox 0.5199)  1.39 it/s  gpu_mem=22263 MB
  iter 3800/5914  loss=1.5060  (cls 0.6520 bbox 0.8540)  1.39 it/s  gpu_mem=22263 MB
  iter 3900/5914  loss=1.5067  (cls 0.6811 bbox 0.8255)  1.39 it/s  gpu_mem=22263 MB
  iter 4000/5914  loss=1.1266  (cls 0.5670 bbox 0.5596)  1.39 it/s  gpu_mem=22263 MB
  iter 4100/5914  loss=1.3709  (cls 0.7706 bbox 0.6003)  1.39 it/s  gpu_mem=22263 MB
  iter 4200/5914  loss=0.9507  (cls 0.4818 bbox 0.4688)  1.39 it/s  gpu_mem=22263 MB
  iter 4300/5914  loss=1.2922  (cls 0.6729 bbox 0.6193)  1.39 it/s  gpu_mem=22263 MB
  iter 4400/5914  loss=1.1103  (cls 0.6180 bbox 0.4923)  1.39 it/s  gpu_mem=22263 MB
  iter 4500/5914  loss=1.1851  (cls 0.6036 bbox 0.5815)  1.39 it/s  gpu_mem=22263 MB
  iter 4600/5914  loss=1.2730  (cls 0.6771 bbox 0.5959)  1.39 it/s  gpu_mem=22263 MB
  iter 4700/5914  loss=1.1400  (cls 0.5884 bbox 0.5516)  1.39 it/s  gpu_mem=22263 MB
  iter 4800/5914  loss=1.2089  (cls 0.6019 bbox 0.6070)  1.39 it/s  gpu_mem=22263 MB
  iter 4900/5914  loss=1.2412  (cls 0.5813 bbox 0.6599)  1.39 it/s  gpu_mem=22263 MB
  iter 5000/5914  loss=1.2654  (cls 0.6028 bbox 0.6626)  1.39 it/s  gpu_mem=22263 MB
  iter 5100/5914  loss=0.9746  (cls 0.5382 bbox 0.4363)  1.39 it/s  gpu_mem=22263 MB
  iter 5200/5914  loss=0.9993  (cls 0.5165 bbox 0.4828)  1.39 it/s  gpu_mem=22263 MB
  iter 5300/5914  loss=1.2251  (cls 0.6292 bbox 0.5960)  1.39 it/s  gpu_mem=22263 MB
  iter 5400/5914  loss=1.3481  (cls 0.6621 bbox 0.6861)  1.39 it/s  gpu_mem=22263 MB
  iter 5500/5914  loss=1.1218  (cls 0.5813 bbox 0.5405)  1.39 it/s  gpu_mem=22263 MB
  iter 5600/5914  loss=1.2993  (cls 0.6314 bbox 0.6679)  1.39 it/s  gpu_mem=22263 MB
  iter 5700/5914  loss=1.3531  (cls 0.6940 bbox 0.6591)  1.39 it/s  gpu_mem=22263 MB
  iter 5800/5914  loss=1.2204  (cls 0.6395 bbox 0.5809)  1.39 it/s  gpu_mem=22263 MB
  iter 5900/5914  loss=1.1768  (cls 0.6309 bbox 0.5458)  1.39 it/s  gpu_mem=22263 MB
Epoch 2 train | total=1.2438 cls=0.6180 bbox=0.6257 | LR bb=2.96e-05 head=2.96e-04 | 5914 batches in 4246.8s
Epoch 2 eval | mAP@50=0.093  mAP@[.5:.95]=0.044
>> Best saved at epoch 2 (mAP@50: 0.093)
