=== Experiment V4_mosaic: V4 = V3 + Mosaic/MixUp ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V4_mosaic.log
dataset=coco batch=20 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V3_imagenet_best.pth scope=all  aug=strong
USE_KD=False  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.21s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.54s)
creating index...
index created!
Train batches: 5914  Val batches: 250
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V3_imagenet_best.pth (scope=all): loaded 936 keys, skipped 0
Total params: 20,322,535  Trainable: 20,170,975
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
No resume checkpoint — fresh start for this experiment.
  iter 3100/5914  loss=1.4728  (cls 0.5768 bbox 0.8960)  1.40 it/s  gpu_mem=22035 MB
  iter 3200/5914  loss=0.9374  (cls 0.4204 bbox 0.5170)  1.40 it/s  gpu_mem=22035 MB
  iter 3300/5914  loss=1.2280  (cls 0.4987 bbox 0.7293)  1.40 it/s  gpu_mem=22035 MB
  iter 3400/5914  loss=1.5153  (cls 0.6225 bbox 0.8928)  1.40 it/s  gpu_mem=22035 MB
  iter 3500/5914  loss=1.0085  (cls 0.4791 bbox 0.5294)  1.40 it/s  gpu_mem=22035 MB
  iter 3600/5914  loss=1.5066  (cls 0.6165 bbox 0.8901)  1.40 it/s  gpu_mem=22035 MB
  iter 3700/5914  loss=1.4296  (cls 0.6453 bbox 0.7842)  1.40 it/s  gpu_mem=22035 MB
  iter 3800/5914  loss=1.0027  (cls 0.4491 bbox 0.5536)  1.40 it/s  gpu_mem=22035 MB
  iter 3900/5914  loss=0.9337  (cls 0.3725 bbox 0.5612)  1.40 it/s  gpu_mem=22035 MB
  iter 4000/5914  loss=1.4981  (cls 0.6168 bbox 0.8813)  1.40 it/s  gpu_mem=22035 MB
  iter 4100/5914  loss=1.0390  (cls 0.4400 bbox 0.5990)  1.40 it/s  gpu_mem=22035 MB
  iter 4200/5914  loss=1.7535  (cls 0.7499 bbox 1.0035)  1.40 it/s  gpu_mem=22035 MB
  iter 4300/5914  loss=1.6006  (cls 0.6523 bbox 0.9483)  1.40 it/s  gpu_mem=22035 MB
  iter 4400/5914  loss=1.1194  (cls 0.4292 bbox 0.6902)  1.40 it/s  gpu_mem=22035 MB
  iter 4500/5914  loss=1.3472  (cls 0.6379 bbox 0.7093)  1.40 it/s  gpu_mem=22035 MB
  iter 4600/5914  loss=1.0205  (cls 0.4531 bbox 0.5674)  1.40 it/s  gpu_mem=22035 MB
  iter 4700/5914  loss=1.4956  (cls 0.5998 bbox 0.8958)  1.40 it/s  gpu_mem=22035 MB
  iter 4800/5914  loss=1.5832  (cls 0.6074 bbox 0.9758)  1.40 it/s  gpu_mem=22035 MB
  iter 4900/5914  loss=1.1085  (cls 0.4528 bbox 0.6557)  1.40 it/s  gpu_mem=22035 MB
  iter 5000/5914  loss=1.7710  (cls 0.7489 bbox 1.0220)  1.40 it/s  gpu_mem=22035 MB
  iter 5100/5914  loss=1.6716  (cls 0.6031 bbox 1.0685)  1.40 it/s  gpu_mem=22035 MB
  iter 5200/5914  loss=1.1017  (cls 0.4459 bbox 0.6559)  1.40 it/s  gpu_mem=22035 MB
  iter 5300/5914  loss=1.1878  (cls 0.4548 bbox 0.7330)  1.40 it/s  gpu_mem=22035 MB
  iter 5400/5914  loss=1.8790  (cls 0.6701 bbox 1.2089)  1.40 it/s  gpu_mem=22035 MB
  iter 5500/5914  loss=0.9115  (cls 0.4346 bbox 0.4769)  1.40 it/s  gpu_mem=22035 MB
  iter 5600/5914  loss=1.0166  (cls 0.4191 bbox 0.5975)  1.40 it/s  gpu_mem=22035 MB
  iter 5700/5914  loss=1.0536  (cls 0.4857 bbox 0.5678)  1.40 it/s  gpu_mem=22035 MB
  iter 5800/5914  loss=1.5373  (cls 0.5689 bbox 0.9685)  1.40 it/s  gpu_mem=22035 MB
  iter 5900/5914  loss=1.0621  (cls 0.4365 bbox 0.6256)  1.40 it/s  gpu_mem=22035 MB
Epoch 2 train | total=1.3069 cls=0.5366 bbox=0.7703 | LR bb=2.98e-05 head=2.98e-04 | 5914 batches in 4232.9s
Epoch 2 eval | mAP@50=0.242  mAP@[.5:.95]=0.125
  iter 0/5914  loss=1.5590  (cls 0.6182 bbox 0.9408)  0.32 it/s  gpu_mem=22035 MB
  iter 100/5914  loss=1.4999  (cls 0.6024 bbox 0.8975)  1.34 it/s  gpu_mem=22035 MB
  iter 200/5914  loss=1.4221  (cls 0.5936 bbox 0.8285)  1.36 it/s  gpu_mem=22035 MB
  iter 300/5914  loss=1.1484  (cls 0.4706 bbox 0.6777)  1.37 it/s  gpu_mem=22035 MB
  iter 400/5914  loss=0.9781  (cls 0.3890 bbox 0.5891)  1.38 it/s  gpu_mem=22035 MB
  iter 500/5914  loss=1.1451  (cls 0.4311 bbox 0.7140)  1.38 it/s  gpu_mem=22035 MB
  iter 600/5914  loss=1.4641  (cls 0.5954 bbox 0.8687)  1.38 it/s  gpu_mem=22035 MB
  iter 700/5914  loss=1.2028  (cls 0.4918 bbox 0.7110)  1.38 it/s  gpu_mem=22035 MB
  iter 800/5914  loss=1.6978  (cls 0.6586 bbox 1.0392)  1.39 it/s  gpu_mem=22035 MB
  iter 900/5914  loss=1.5283  (cls 0.5711 bbox 0.9573)  1.39 it/s  gpu_mem=22035 MB
  iter 1000/5914  loss=1.0989  (cls 0.4342 bbox 0.6647)  1.39 it/s  gpu_mem=22035 MB
  iter 1100/5914  loss=1.3126  (cls 0.5655 bbox 0.7471)  1.39 it/s  gpu_mem=22035 MB
  iter 1200/5914  loss=1.4601  (cls 0.5745 bbox 0.8855)  1.39 it/s  gpu_mem=22035 MB
  iter 1300/5914  loss=0.8793  (cls 0.3832 bbox 0.4961)  1.39 it/s  gpu_mem=22035 MB
  iter 1400/5914  loss=1.8105  (cls 0.6250 bbox 1.1855)  1.39 it/s  gpu_mem=22035 MB
  iter 1500/5914  loss=1.2650  (cls 0.4591 bbox 0.8059)  1.39 it/s  gpu_mem=22035 MB
  iter 1600/5914  loss=1.0180  (cls 0.4500 bbox 0.5680)  1.39 it/s  gpu_mem=22035 MB
  iter 1700/5914  loss=1.0124  (cls 0.4038 bbox 0.6086)  1.39 it/s  gpu_mem=22035 MB
  iter 1800/5914  loss=1.6548  (cls 0.6088 bbox 1.0460)  1.39 it/s  gpu_mem=22035 MB
  iter 1900/5914  loss=1.5635  (cls 0.5840 bbox 0.9796)  1.39 it/s  gpu_mem=22035 MB
  iter 2000/5914  loss=1.5079  (cls 0.6490 bbox 0.8589)  1.39 it/s  gpu_mem=22035 MB
